# Starting date:             2015-06-02 19:14:29
# Cluster job name:          fribourg.r.goal
# Cluster job ID:            8760796
# Cluster node:              hnode27
# Cluster queue:             mpi.q
# GOAL command:              complement -m fribourg -r
# Input data:                goal.tar.gz
# Memory limit (Java heap):  1G
# Timeout (CPU time):        600s
id,states,timeout,memout,cpu_time,real_time,dt,da,file
1,700,N,N,4.403,2.231,1.0,0.1,s15_t1.0_a0.1_001.gff
2,322,N,N,3.296,1.774,1.0,0.1,s15_t1.0_a0.1_002.gff
3,31,N,N,2.300,1.242,1.0,0.1,s15_t1.0_a0.1_003.gff
4,720,N,N,4.784,2.384,1.0,0.1,s15_t1.0_a0.1_004.gff
5,1594,N,N,8.094,3.864,1.0,0.1,s15_t1.0_a0.1_005.gff
6,42,N,N,2.374,1.286,1.0,0.1,s15_t1.0_a0.1_006.gff
7,109,N,N,3.142,1.723,1.0,0.1,s15_t1.0_a0.1_007.gff
8,54,N,N,2.493,1.350,1.0,0.1,s15_t1.0_a0.1_008.gff
9,286,N,N,3.027,1.640,1.0,0.1,s15_t1.0_a0.1_009.gff
10,138,N,N,2.765,1.507,1.0,0.1,s15_t1.0_a0.1_010.gff
11,55,N,N,2.402,1.304,1.0,0.1,s15_t1.0_a0.1_011.gff
12,131,N,N,2.602,1.406,1.0,0.1,s15_t1.0_a0.1_012.gff
13,16,N,N,2.247,1.218,1.0,0.1,s15_t1.0_a0.1_013.gff
14,310,N,N,3.138,1.695,1.0,0.1,s15_t1.0_a0.1_014.gff
15,67,N,N,2.471,1.354,1.0,0.1,s15_t1.0_a0.1_015.gff
16,1539,N,N,11.603,7.925,1.0,0.1,s15_t1.0_a0.1_016.gff
17,91,N,N,2.635,1.441,1.0,0.1,s15_t1.0_a0.1_017.gff
18,32,N,N,2.291,1.243,1.0,0.1,s15_t1.0_a0.1_018.gff
19,20,N,N,2.320,1.223,1.0,0.1,s15_t1.0_a0.1_019.gff
20,240,N,N,2.983,1.612,1.0,0.1,s15_t1.0_a0.1_020.gff
21,1046,N,N,6.214,3.258,1.0,0.1,s15_t1.0_a0.1_021.gff
22,88,N,N,2.536,1.374,1.0,0.1,s15_t1.0_a0.1_022.gff
23,22,N,N,2.241,1.256,1.0,0.1,s15_t1.0_a0.1_023.gff
24,78,N,N,2.883,1.576,1.0,0.1,s15_t1.0_a0.1_024.gff
25,58,N,N,2.380,1.297,1.0,0.1,s15_t1.0_a0.1_025.gff
26,33,N,N,2.270,1.242,1.0,0.1,s15_t1.0_a0.1_026.gff
27,110,N,N,2.618,1.443,1.0,0.1,s15_t1.0_a0.1_027.gff
28,162,N,N,2.679,1.477,1.0,0.1,s15_t1.0_a0.1_028.gff
29,149,N,N,3.266,1.850,1.0,0.1,s15_t1.0_a0.1_029.gff
30,3480,N,N,12.893,8.418,1.0,0.1,s15_t1.0_a0.1_030.gff
31,220,N,N,2.830,1.537,1.0,0.1,s15_t1.0_a0.1_031.gff
32,58,N,N,2.397,1.307,1.0,0.1,s15_t1.0_a0.1_032.gff
33,160,N,N,2.755,1.498,1.0,0.1,s15_t1.0_a0.1_033.gff
34,504,N,N,3.613,1.969,1.0,0.1,s15_t1.0_a0.1_034.gff
35,1104,N,N,5.783,2.907,1.0,0.1,s15_t1.0_a0.1_035.gff
36,2162,N,N,7.371,4.242,1.0,0.1,s15_t1.0_a0.1_036.gff
37,29,N,N,2.392,1.284,1.0,0.1,s15_t1.0_a0.1_037.gff
38,521,N,N,3.648,1.967,1.0,0.1,s15_t1.0_a0.1_038.gff
39,25,N,N,2.233,1.232,1.0,0.1,s15_t1.0_a0.1_039.gff
40,18,N,N,2.286,1.269,1.0,0.1,s15_t1.0_a0.1_040.gff
41,62,N,N,2.382,1.301,1.0,0.1,s15_t1.0_a0.1_041.gff
42,68,N,N,2.464,1.351,1.0,0.1,s15_t1.0_a0.1_042.gff
43,185,N,N,2.737,1.488,1.0,0.1,s15_t1.0_a0.1_043.gff
44,2190,N,N,7.879,4.879,1.0,0.1,s15_t1.0_a0.1_044.gff
45,349,N,N,5.607,3.105,1.0,0.1,s15_t1.0_a0.1_045.gff
46,511,N,N,3.737,2.089,1.0,0.1,s15_t1.0_a0.1_046.gff
47,233,N,N,2.896,1.572,1.0,0.1,s15_t1.0_a0.1_047.gff
48,78,N,N,2.486,1.349,1.0,0.1,s15_t1.0_a0.1_048.gff
49,244,N,N,3.181,1.727,1.0,0.1,s15_t1.0_a0.1_049.gff
50,54,N,N,2.873,1.541,1.0,0.1,s15_t1.0_a0.1_050.gff
51,16,N,N,2.249,1.211,1.0,0.1,s15_t1.0_a0.1_051.gff
52,69,N,N,2.411,1.310,1.0,0.1,s15_t1.0_a0.1_052.gff
53,113,N,N,2.674,1.451,1.0,0.1,s15_t1.0_a0.1_053.gff
54,25,N,N,2.264,1.218,1.0,0.1,s15_t1.0_a0.1_054.gff
55,202,N,N,2.823,1.534,1.0,0.1,s15_t1.0_a0.1_055.gff
56,241,N,N,3.050,1.656,1.0,0.1,s15_t1.0_a0.1_056.gff
57,310,N,N,3.178,1.755,1.0,0.1,s15_t1.0_a0.1_057.gff
58,3098,N,N,12.010,7.206,1.0,0.1,s15_t1.0_a0.1_058.gff
59,89,N,N,2.566,1.382,1.0,0.1,s15_t1.0_a0.1_059.gff
60,62,N,N,2.415,1.333,1.0,0.1,s15_t1.0_a0.1_060.gff
61,110,N,N,2.552,1.391,1.0,0.1,s15_t1.0_a0.1_061.gff
62,1784,N,N,9.877,5.574,1.0,0.1,s15_t1.0_a0.1_062.gff
63,137,N,N,2.714,1.506,1.0,0.1,s15_t1.0_a0.1_063.gff
64,318,N,N,3.160,1.725,1.0,0.1,s15_t1.0_a0.1_064.gff
65,1085,N,N,5.663,2.745,1.0,0.1,s15_t1.0_a0.1_065.gff
66,4,N,N,2.240,1.216,1.0,0.1,s15_t1.0_a0.1_066.gff
67,236,N,N,3.043,1.658,1.0,0.1,s15_t1.0_a0.1_067.gff
68,35,N,N,2.406,1.300,1.0,0.1,s15_t1.0_a0.1_068.gff
69,584,N,N,4.064,2.059,1.0,0.1,s15_t1.0_a0.1_069.gff
70,30,N,N,2.293,1.255,1.0,0.1,s15_t1.0_a0.1_070.gff
71,14,N,N,2.264,1.213,1.0,0.1,s15_t1.0_a0.1_071.gff
72,65,N,N,2.456,1.332,1.0,0.1,s15_t1.0_a0.1_072.gff
73,1879,N,N,7.899,4.602,1.0,0.1,s15_t1.0_a0.1_073.gff
74,81,N,N,2.511,1.379,1.0,0.1,s15_t1.0_a0.1_074.gff
75,59,N,N,2.440,1.325,1.0,0.1,s15_t1.0_a0.1_075.gff
76,3010,N,N,13.443,9.045,1.0,0.1,s15_t1.0_a0.1_076.gff
77,91,N,N,2.673,1.455,1.0,0.1,s15_t1.0_a0.1_077.gff
78,2096,N,N,7.819,4.624,1.0,0.1,s15_t1.0_a0.1_078.gff
79,29,N,N,2.290,1.269,1.0,0.1,s15_t1.0_a0.1_079.gff
80,326,N,N,3.197,1.777,1.0,0.1,s15_t1.0_a0.1_080.gff
81,113,N,N,2.773,1.511,1.0,0.1,s15_t1.0_a0.1_081.gff
82,1187,N,N,5.716,2.765,1.0,0.1,s15_t1.0_a0.1_082.gff
83,182,N,N,2.846,1.537,1.0,0.1,s15_t1.0_a0.1_083.gff
84,150,N,N,2.680,1.459,1.0,0.1,s15_t1.0_a0.1_084.gff
85,1392,N,N,9.984,6.185,1.0,0.1,s15_t1.0_a0.1_085.gff
86,36,N,N,2.321,1.260,1.0,0.1,s15_t1.0_a0.1_086.gff
87,42,N,N,2.359,1.301,1.0,0.1,s15_t1.0_a0.1_087.gff
88,122,N,N,2.651,1.440,1.0,0.1,s15_t1.0_a0.1_088.gff
89,1045,N,N,5.682,2.843,1.0,0.1,s15_t1.0_a0.1_089.gff
90,91,N,N,2.536,1.375,1.0,0.1,s15_t1.0_a0.1_090.gff
91,531,N,N,4.927,2.471,1.0,0.1,s15_t1.0_a0.1_091.gff
92,167,N,N,2.798,1.532,1.0,0.1,s15_t1.0_a0.1_092.gff
93,112,N,N,3.217,1.763,1.0,0.1,s15_t1.0_a0.1_093.gff
94,1852,N,N,17.264,12.664,1.0,0.1,s15_t1.0_a0.1_094.gff
95,572,N,N,3.679,2.040,1.0,0.1,s15_t1.0_a0.1_095.gff
96,75,N,N,2.406,1.335,1.0,0.1,s15_t1.0_a0.1_096.gff
97,4,N,N,2.208,1.211,1.0,0.1,s15_t1.0_a0.1_097.gff
98,275,N,N,3.157,1.719,1.0,0.1,s15_t1.0_a0.1_098.gff
99,59,N,N,2.385,1.297,1.0,0.1,s15_t1.0_a0.1_099.gff
100,51,N,N,2.432,1.324,1.0,0.1,s15_t1.0_a0.1_100.gff
101,93,N,N,2.486,1.353,1.0,0.2,s15_t1.0_a0.2_001.gff
102,300,N,N,3.085,1.669,1.0,0.2,s15_t1.0_a0.2_002.gff
103,8,N,N,2.253,1.209,1.0,0.2,s15_t1.0_a0.2_003.gff
104,277,N,N,3.071,1.682,1.0,0.2,s15_t1.0_a0.2_004.gff
105,79,N,N,2.985,1.616,1.0,0.2,s15_t1.0_a0.2_005.gff
106,35,N,N,2.359,1.277,1.0,0.2,s15_t1.0_a0.2_006.gff
107,49,N,N,2.367,1.291,1.0,0.2,s15_t1.0_a0.2_007.gff
108,83,N,N,2.701,1.480,1.0,0.2,s15_t1.0_a0.2_008.gff
109,74,N,N,2.473,1.337,1.0,0.2,s15_t1.0_a0.2_009.gff
110,29,N,N,2.283,1.251,1.0,0.2,s15_t1.0_a0.2_010.gff
111,126,N,N,2.633,1.424,1.0,0.2,s15_t1.0_a0.2_011.gff
112,4827,N,N,20.846,15.054,1.0,0.2,s15_t1.0_a0.2_012.gff
113,12,N,N,2.248,1.205,1.0,0.2,s15_t1.0_a0.2_013.gff
114,27,N,N,2.243,1.228,1.0,0.2,s15_t1.0_a0.2_014.gff
115,106,N,N,3.162,1.757,1.0,0.2,s15_t1.0_a0.2_015.gff
116,90,N,N,2.569,1.431,1.0,0.2,s15_t1.0_a0.2_016.gff
117,139,N,N,2.781,1.476,1.0,0.2,s15_t1.0_a0.2_017.gff
118,2640,N,N,9.058,5.547,1.0,0.2,s15_t1.0_a0.2_018.gff
119,63,N,N,2.411,1.352,1.0,0.2,s15_t1.0_a0.2_019.gff
120,16,N,N,2.276,1.254,1.0,0.2,s15_t1.0_a0.2_020.gff
121,208,N,N,3.030,1.646,1.0,0.2,s15_t1.0_a0.2_021.gff
122,523,N,N,4.201,2.134,1.0,0.2,s15_t1.0_a0.2_022.gff
123,348,N,N,3.410,1.838,1.0,0.2,s15_t1.0_a0.2_023.gff
124,425,N,N,5.434,2.740,1.0,0.2,s15_t1.0_a0.2_024.gff
125,37,N,N,2.333,1.263,1.0,0.2,s15_t1.0_a0.2_025.gff
126,51,N,N,2.601,1.416,1.0,0.2,s15_t1.0_a0.2_026.gff
127,164,N,N,2.971,1.609,1.0,0.2,s15_t1.0_a0.2_027.gff
128,118,N,N,2.588,1.401,1.0,0.2,s15_t1.0_a0.2_028.gff
129,21,N,N,2.248,1.227,1.0,0.2,s15_t1.0_a0.2_029.gff
130,7,N,N,2.234,1.208,1.0,0.2,s15_t1.0_a0.2_030.gff
131,537,N,N,4.795,2.304,1.0,0.2,s15_t1.0_a0.2_031.gff
132,64,N,N,2.710,1.475,1.0,0.2,s15_t1.0_a0.2_032.gff
133,184,N,N,2.824,1.554,1.0,0.2,s15_t1.0_a0.2_033.gff
134,306,N,N,3.103,1.676,1.0,0.2,s15_t1.0_a0.2_034.gff
135,430,N,N,11.282,7.360,1.0,0.2,s15_t1.0_a0.2_035.gff
136,34,N,N,2.395,1.314,1.0,0.2,s15_t1.0_a0.2_036.gff
137,53,N,N,2.510,1.370,1.0,0.2,s15_t1.0_a0.2_037.gff
138,203,N,N,3.019,1.635,1.0,0.2,s15_t1.0_a0.2_038.gff
139,31,N,N,2.506,1.337,1.0,0.2,s15_t1.0_a0.2_039.gff
140,650,N,N,4.375,2.153,1.0,0.2,s15_t1.0_a0.2_040.gff
141,223,N,N,2.945,1.604,1.0,0.2,s15_t1.0_a0.2_041.gff
142,15,N,N,2.219,1.201,1.0,0.2,s15_t1.0_a0.2_042.gff
143,163,N,N,2.699,1.457,1.0,0.2,s15_t1.0_a0.2_043.gff
